question,answer
Onde Rigo Tovar se apresentou em Monterrey?,Rio de Santa Catarina
Qual é o cenário para Network Cartoon Amazone Waterpark,floresta amazônica
Qual é a maior corporação energética no Brasil?,Petrobras
Qual foi o nome da região da costa leste do Brasil,Nordeste.
quanto das florestas restantes do planeta é a floresta amazônica,mais da metade
Morro do diabo é o ponto mais alto de qual floresta,Mata Atlântica
Quantas espécies de primatas existem no Brasil?,77.
A economia da Amazonas já foi dependente de qual produto,borracha
A termo doença brasileira refere-se à desvalorização de que cultura,soja
Qual é a principal causa de mudanças na composição e processos da Amazônia,desmatamento
Quando o gado levantou se expandir para áreas menos adequadas do Pantanal,século 20
Onde estão as corridas de aventura mundial realizada no Brasil?,o pantanal
Bananal Island é em que país sul-americano,Brasil
Quão longe é Saquarema Beach do Rio de Janeiro,73 km.
O estádio ribeirinho em Londres é o lar de qual time de futebol olímpico,Brasil
O que corre para o norte e sul através de Santa Catarina,SERRA GERAL
Quando começa a chover na floresta amazônica,julho
que doença a tripulação brasileira ficou doente durante a Primeira Guerra Mundial,gripe espanhola
Próxima temporada do modelo de topo do Brasil Quanto tem giovahnna ganhou,7 centímetros
a floresta amazônica está à beira de se transformar em que tipo de ambiente,deserto
onde está o centro de treinamento de confederação de futebol brasileiro localizado,Teresópolis.
Qual porcentagem dos peruanos são amazônicas?,"0,3%"
Quantos grupos de pesquisa estão na Universidade Federal da Amazonas,645.
Qual é o nome do recinto de pé no zoológico de Blackpool,Amazônia
Qual é o maior aquífero conhecido do mundo?,O aquífero guarani.
qual país sul-americano tem o maior número de aves de pastagem,Brasil
Quando o Brasil se tornará o primeiro país de energia limpa do mundo,2020.
a baía de Todos os Santos está perto de qual cidade no Brasil,Salvador
Em que país era o músico baseado em Seattle Powell.Barnett Born.,"Brasil, Indiana"
Que evidência apoia a teoria da especiação da floresta tropical amazônica,Evidência genética
onde está a floresta nublada localizada em Abancay,a bacia amazônica
Onde o Rio de Janeiro está na poluição do ar,12º
quão longe da costa brasileira foi o projeto de petróleo Frade,370 km.
O caracol do mar Dardanus venosus é nativo para o qual país sul-americano,Brasil
Qual é o nome do macaco em extinção na floresta amazônica,O pied Tamarin.
Qual é a segunda montanha mais alta do Brasil?,Pico 31 de Março
Qual é o símbolo do departamento de Amazonas?,O indiano
O rio Gurupi no Brasil é o lar de,Floresta de Broadleaf Moist Tropical
"Onde está o cabo do Oceano Atlântico Sul, conectando Brasil e Luanda",Fortaleza.
De onde vive o macaco de aranha bochechudo branco?,Brasil
Barcelos é a capital de qual região da América do Sul,Amazonas.
Quando foi encontrada a floresta tropical encontrada no Brasil,18 de janeiro de 2007.
Onde o clima do Brasil varia de,Norte tropical
Onde os estlaways exilados vão em Survivor Tocantins,Exile Island.
Quando a primeira sinagoga judaica da Amazon se abriu no Brasil?,1824.
Quem fez animais super peludos bater em jogar legal,Brasil
Playa Girón Beach é em qual rio,Bahia de Cochinos.
que tipo de clima são uvas cultivadas em Santa Catarina,temperado
qual clube fez chelsea sinal brasileiro de volta Wallace de,Fluminense.
Qual arquiteto brasileiro de paisagem chamou o jardim mais extraordinário de Huntington,Roberto Burle Marx.
Onde a banda seaweed brincou em 2009,Brasil
Que tipo de areia é encontrada no aquífero guarani,quartzo
Quem é o editor da Wonder Woman Amazonia,DC Comics
Onde está Loreto localizado no mundo,Floresta amazônica
Onde o Brasil treina para a Copa do Mundo?,Granja Comary.
Onde os gatos de Pantanal vivem no mundo?,América do Sul
Quantas tribos indígenas foram destruídas no Brasil,Mais de oitenta e oitenta anos
Quais são os estados vizinhos da Amazonas e do Pará?,Mato Grosso.
Onde o Cinta Largo vive,a floresta ocidental da Amazônia do Brasil
Qual é o grupo irmão de cerradomys?,Nectomys.
onde foi o zoológico de São Paulo originalmente construído,Mata Atlântica
Qual é o nome do primeiro satélite lançado pela Amazonas?,Amazonas 1.
Qual é a praia mais longa do Brasil de acordo com o mundo,Praia do Cassino.
onde é o médico no olho da floresta,Brasil
Quando a próxima segunda temporada do modelo do Brasil,10 de setembro de 2009
O Parque Nacional Canaima é resultado de qual tratado,O Tratado de Cooperação Amazônica
Qual cidade é o segundo maior recinto no norte do Brasil,Amazonas.
As cidades costeiras e hinterlands do Brasil foram principalmente orientadas para qual país,Portugal
A ponte do rio Takutu conecta a Guiana a que outro país,Brasil
Qual empresa de energia brasileira possui uma participação controladora no transpeção,Petrobras
que anunciou em 2011 que eles lançariam conjuntamente o cabo submarino com os cabos de Angola,Telebras brasileiras.
Qual país ganhou o Campeonato Mundial de Handbol 2014 Beach,Brasil
Que estado foi o Brasil anexado pela Bolívia na Guerra do Pacífico,Amazonas.
Quando foi identificado a doença de Mayaro primeiro no Brasil,1991.
Por que o mercúrio é importado para a Amazônia?,aumento de preço
Onde estão os ativistas mais ambientais mortos no mundo,Brasil
Quanto tempo é o litoral do Brasil em quilômetros,7.491 km.
onde está a embarcação de pesquisa alfa crucis localizada,Brasil
Onde é que o músico Wren nativo da América do Sul,a floresta amazônica
em que país é a Comissão Técnica Nacional de Biossegurança responsável pela avaliação da segurança ambiental e alimentar,Brasil
Qual é o nome da baía em que Puerto Barrios está situado,Bahia de Amatique
Quem faz o revólver Rossi 971,Rossi empresa de arma de fogo do Brasil
Em qual ilha é Praia Brava localizada,Ilha de Papai Noel Catarina.
Praia do Porto da Barra é a capital de qual país,Brasil
Qual é o termo usado para se referir aos idiomas falados pelo povo amazônico,Línguas amazônicas
O nome latino Noronhomys é derivado de qual explorador,Fernando de Noronha
Qual é a universidade mais antiga do Brasil?,Universidade Federal do Amazonas
Quando foi a primeira barragem hidrelétrica construída no Brasil,1975.
qual país sul-americano tem as espécies mais conhecidas de plantas (55.000),Brasil
Quando foi maravilha mulher a cômica da Amazônia feita,1997.
Qual bioma é a ilha de tamoios parte de,Bioma da Mata Atlântica.
Que tipo de vegetação é encontrada em Roraima,floresta tropical
Qual é o nome do apresentador de TeleMEZONAS?,Jorge Ortiz.
Quantas usinas hidrelétricas operam no Brasil,oito
Onde Hercules iria depois que ele libertou Amazônia?,Ilha do Paraíso
"Qual é o nome da região brasileira que inclui Palmas, Tacant",cerrado
Quão longe roubou a moto da floresta amazônica,1.200 km.
O monjolo é uma máquina hidráulica utilizada no processamento de grãos em que país,Brasil
Qual é a massa de gema no Brasil?,3.075 grãos
Qual foi o nome do cruzador brasileiro afundado pelo submarino alemão,Bahia.
Que país produz mais energia do bagaço,Brasil
Quantas assentos de classe empresarial estão na Força Aérea Brasileira,20.
Quando o primeiro trem descarrilou no Rio de Janeiro?,28 de agosto de 2011.
A Colômbia tem a segunda maior biodiversidade do mundo depois do outro país,Brasil
Onde o falcão cresce na segunda temporada?,Brasil
Onde o mar acaba em Recife Brasil?,oceano Atlântico Sul
qual rio no estado de Tocantins faz o bloco de projeto hidrelétrico,Rio Tocantins.
Qual é a causa da fragmentação do habitat na floresta amazônica,Desmatamento
A Iniciativa Financeira do Programa de Ambiente das Nações Unidas (UNEP FIB) foi criada em 1992 em,Rio de Janeiro
Quantas plantas vasculares são encontradas na Mata Atlântica,40 por cento
O orinduik cai no Brasil se juntam a qual rio,rio Amazonas
Quem dividiu a floresta amazônica no Eocene,o arco purus
Quem administra o parque nacional de Pau Brasil,Chico Mendes Institute for Biodiversity Conservation
Qual é o nome da floresta tropical no Peru,floresta amazônica
Quantas pessoas podem ter vivido na floresta amazônica em 1500,5 milhões
onde é o macaco sem escalada árvore encontrada,Floresta amazônica
Onde o Brasil recebe a maior parte de seu financiamento para pesquisa e tecnologia,universidades.
Quanto tempo leva o Brasil para chegar à chuva,entre um ano
Swartzia é um gênero de leguminosa na família Fabaceae.Onde é,Amazônia
Qual é o nome da costa do pôr do sol do Ceará,Costa do Sol Poente
De onde vive o peixe de sinuca no Brasil?,A bacia do rio Araguaia superior
qual grupo ambiental protestou a construção de uma usina nuclear no Brasil em 2008,Paz verde
que aprovou o fornecimento de combustível nuclear para o Brasil,Comissão de Energia Atômica dos Estados Unidos
Qual é o nome do Deus Amazônia que traz bebês às margens de,Nereidos
Quantas estações do próximo modelo do Brasil estão lá,três
Fernando de Noronha National Park Marine está localizado em que país,Brasil
Onde fica a Cordilheira Serra Geral localizada,sul do Brasil
Quem é o pigskeeper feminino amazônico em Lord Esmsworth,Monica Simmons.
A região marítima da Bahia irradia de onde,Baía de todos os santos
De onde a Palma de Moriche cresce no Brasil?,a vegetação do cerrado
Qual corredor ecológico conecta unidades de conservação na floresta amazônica,O Corredor Ecológico da Amazônia Central
Leishmania Braziliensis é a causa mais comum de qual doença,leishmaniose.
Quantos municípios são cobertos pela reserva da Biosfera da Mata Atlântica,mais de 1.000.
Quantos lugares o The Brazil Olympic Rugby Sevens Team têm,15.000.
Quem foi capaz de encontrar a floresta amazônica,Calipso.
Onde a conferência da ONU sobre o ambiente e o desenvolvimento realizou em 1992,Rio de Janeiro
O Rio Grande do Norte é um grande rio em que sul-americano,Brasil
Qual é a etnia da filha da mulher maravilha,Amazônia
Onde o homem vs monstro acontece,floresta amazônica
Quando é a estação seca no Rio de Janeiro,Junho a setembro
Qual é o nome do sistema de circulação que produz chuvas no Brasil,Convergência Intertropical.
Onde foi o relatório de 1992 do painel intergovernamental sobre mudança climática (ICC),Rio de Janeiro
qual região da América do Sul foi adaptada para usar o índice de progresso social,Região da Amazônia do Brasil
"De acordo com a vontade de Mona Simpson, o que teria sido destruído pelo",a floresta amazônica
qual país sul-americano tem o maior número de aves de pastagem no mundo,Brasil
Quantas pessoas são indígenas para o Brasil,817.000.
quantos pássaros freira preto fachada existem no Brasil,dois
A reserva de Mata do Passarinho é um dos últimos remanescentes de que tipo,Mata Atlântica
Quem foi o botânico brasileiro que descobriu novas espécies de palmeiras,Rodrigues
onde está a assterina stellifera encontrada na lista de espécies em extinção,Brasil
Quando foi a última vez que a floresta amazônica estava seca,2016.
Qual país tem a maior quantidade de floresta removida anualmente,Brasil
Quando foi o conjunto de taxa de emissão de gases de efeito estufa brasileira,2005.
O rio APA forma a fronteira entre o Brasil e que outro país,Paraguai
Quando a temporada de futebol de 2019 terminam no Brasil?,8 de dezembro de 2019
Qual é o nome do primeiro filme etnográfico na floresta amazônica,A festa
Paracoccidioides Brasiliensis é o agente causador de qual doença,Paracoccidioidomicose.
A Karitiana é um povo indígena do qual país sul-americano,Brasil
onde você encontra o tubarão afiado brasileiro,O Oceano Atlântico Ocidental
Quantas pessoas no Brasil são indígenas,817.000.
O que é usado para tratar o reumatismo nas tribos amazônicas,picadas de incêndio
Quantos grupos de pesquisa existem na Universidade Federal da Amazonas,645.
Qual país declarou seu desmatamento uma emergência nacional,Brasil
Qual é o nome do Characid encontrado no rio Tocantins,Stygichthys Typhlops.
Quem foi o ex-presidente do Partido Comunista do Brasil,João Amazonas
De onde veio as espécies da Hippeastrum?,Brasil
Que tipo de mockingbird é nativo do Brasil,Mockingbird tropical
Brycon trutas são o quinto peixe mais pego na Amazônia de acordo com um,Ibama.
Quem escreveu a Telenovela Pantanal,Benedito Ruy Barbosa.
Quando os portugueses conquistam o Brasil na costa do ouro holandês,1630.
Quem foi o missionário espanhol que alegou ter conhecido nativos amazônicos brancos,GASPAR DE CARVAJAL.
Quantas espécies de angiosperm estão na lista Brasil Flora,"31,156."
Bahia Jiquilisco Bay em Nicarágua é famosa por aninhar que,hawksbills.
Liborio Guarulla é o governador de qual estado,Amazonas.
que divide a floresta amazônica em ecorregiões,O fundo do World Wildlife
Que tipo de curador é maravilha mulher em super-homem,Amazônia
Qual país ganhou a maioria dos campeonatos mundiais de handebol da praia,Brasil
Quantas músicas os brasileiros cantaram na 5ª temporada?,três
Quanto o Brasil pagou pela energia eólica em 2009,US $ 6 bilhões
onde estão as ilhas virgens em 2016 Olimpíadas,Rio de Janeiro
onde Zachary Hickes comandaram as festas da costa na viagem de cozinheiro para,Rio de Janeiro
Quando os primeiros jogos indígenas realizados no Brasil,1996.
Em qual cidade era o 'Xuxa Park Fire' em 2001,Rio de Janeiro
Quando Fernando de Noronha descobriu,10 de agosto de 1503
Quem tem mais assentos na casa dos representantes do Brasil,T.
onde é o rio Cajari localizado no Brasil,Pára
Que país decimou florestas tropicais para abrir caminho para a produção de biocombustíveis,Brasil
Quando foi a primeira estrada construída na floresta amazônica,1958.
Quando o taromenano deixou a floresta amazônica,Fevereiro de 2008.
Qual é o nome da floresta tropical que foi afetada pelo ciclo de carbono,floresta amazônica
Quem produz informações de qualidade da água no Brasil,Agência Ambiental do Estado.
De onde veio o Jaguar em Archie Comics?,Rio de Janeiro
